Tweet;Language;Sentiment
stat say finish messi better prime ronaldo;en;0
lol funni messi cheat code team ronaldo fit he messi wan kill;en;0
lol funni messi cheat code team ronaldo fit he messi wan kill;en;0
lol funni messi cheat code team ronaldo fit he messi wan kill;en;0
lol funni messi cheat code team ronaldo fit he messi wan kill;en;0
heart oak lionel messi impress debut heart oak winger linda mtang regard;en;0
heart oak lionel messi impress debut heart oak winger linda mtang regard;en;0
heart oak lionel messi impress debut heart oak winger linda mtang regard;en;0
heart oak lionel messi impress debut heart oak winger linda mtang regard;en;0
rashford messi mode sinc turn world cup;en;0
rashford messi mode sinc turn world cup;en;0
rashford messi mode sinc turn world cup;en;0
rashford messi mode sinc turn world cup;en;0
lionel messi decid continu europ amp join hilal despit offer highest salari;en;0
lionel messi decid continu europ amp join hilal despit offer highest salari;en;0
lionel messi decid continu europ amp join hilal despit offer highest salari;en;0
